Designator,Mid X,Mid Y,Rotation,Layer
AE2,131.0,-90.85,90.0,top
BZ1,147.8575,-119.7425,270.0,top
C1,138.685,-62.478824,180.0,top
C10,157.79,-64.4,180.0,top
C11,157.79,-62.43,180.0,top
C12,157.79,-60.46,180.0,top
C13,131.25,-79.1,0.0,top
C14,131.98,-100.44,0.0,top
C15,132.0,-105.94,0.0,top
C2,136.685,-64.478824,180.0,top
C3,142.5,-96.53,270.0,top
C4,140.5,-96.53,90.0,top
C5,141.5,-96.53,90.0,top
C6,139.5,-104.0,270.0,top
C7,140.5,-104.0,270.0,top
C8,140.0,-101.0,180.0,top
C9,136.0,-103.5,0.0,top
D1,137.905,-55.516324,0.0,top
D2,130.77,-77.6,90.0,top
D3,126.77,-77.6,0.0,top
D4,138.105,-50.216324,180.0,top
FB1,152.55,-54.728824,0.0,top
J1,147.75,-48.928824,180.0,top
J2,131.22,-82.25,0.0,top
J3,134.72,-81.75,0.0,top
K1,145.1,-129.5,0.0,top
L1,137.685,-63.478824,0.0,top
Q1,139.9675,-54.066324,0.0,top
Q2,134.25,-125.5,270.0,top
R1,149.05,-55.238824,270.0,top
R10,145.28,-106.75,90.0,top
R11,146.28,-106.75,90.0,top
R12,157.8,-68.4,180.0,top
R13,131.27,-76.1,180.0,top
R14,134.3575,-122.5425,270.0,top
R2,146.05,-55.238824,270.0,top
R3,137.685,-56.978824,0.0,top
R4,140.195,-64.478824,0.0,top
R5,141.195,-63.478824,0.0,top
R6,136.9125,-53.931324,0.0,top
R7,136.9025,-52.931324,180.0,top
R8,143.5,-96.5,270.0,top
R9,140.0,-100.0,180.0,top
SW1,151.72,-65.25,180.0,top
SW2,138.79,-91.4,180.0,top
SW3,134.29,-72.9,180.0,top
U1,154.35,-79.0,270.0,top
U2,138.155,-59.853824,90.0,top
U3,145.0,-101.5,0.0,top
Y1,128.0,-103.5,270.0,top
